1167.501037, 4.686539, 930.989615, 231.824883: ns per cell total, react, vel_step, dens_step
1167.965811, 4.682973, 930.910221, 232.372617: ns per cell total, react, vel_step, dens_step
1166.116883, 4.694797, 929.471556, 231.950530: ns per cell total, react, vel_step, dens_step
1169.868086, 4.679701, 933.346230, 231.842155: ns per cell total, react, vel_step, dens_step
1169.487761, 4.679644, 933.192900, 231.615217: ns per cell total, react, vel_step, dens_step
1168.313368, 4.680359, 931.948039, 231.684970: ns per cell total, react, vel_step, dens_step
1165.803705, 4.675066, 929.567276, 231.561363: ns per cell total, react, vel_step, dens_step
1177.689554, 4.678528, 938.921128, 234.089898: ns per cell total, react, vel_step, dens_step
1167.788332, 4.677107, 930.530908, 232.580317: ns per cell total, react, vel_step, dens_step
1167.495486, 4.689257, 931.178566, 231.627664: ns per cell total, react, vel_step, dens_step
1180.759871, 4.673378, 942.510035, 233.576459: ns per cell total, react, vel_step, dens_step
1174.661075, 4.743751, 936.596240, 233.321084: ns per cell total, react, vel_step, dens_step
1177.167227, 4.944345, 938.485518, 233.737364: ns per cell total, react, vel_step, dens_step
1170.998334, 4.669287, 933.905647, 232.423400: ns per cell total, react, vel_step, dens_step
1172.517156, 4.669907, 934.857080, 232.990169: ns per cell total, react, vel_step, dens_step
1173.221025, 4.667962, 932.914187, 235.638876: ns per cell total, react, vel_step, dens_step
1175.595714, 4.676660, 938.047980, 232.871074: ns per cell total, react, vel_step, dens_step
1172.733078, 4.760201, 935.435102, 232.537774: ns per cell total, react, vel_step, dens_step
1170.602645, 4.667723, 932.715004, 233.219918: ns per cell total, react, vel_step, dens_step
1173.348074, 4.663088, 935.562610, 233.122376: ns per cell total, react, vel_step, dens_step
1175.394011, 4.706499, 937.310180, 233.377333: ns per cell total, react, vel_step, dens_step
1174.013147, 4.703533, 936.221093, 233.088521: ns per cell total, react, vel_step, dens_step
1173.771200, 4.665329, 934.886970, 234.218902: ns per cell total, react, vel_step, dens_step
1170.815362, 4.679120, 933.619315, 232.516927: ns per cell total, react, vel_step, dens_step
1177.894794, 4.700596, 938.711243, 234.482956: ns per cell total, react, vel_step, dens_step
1176.059687, 4.662458, 939.387551, 232.009677: ns per cell total, react, vel_step, dens_step
1166.132198, 4.660379, 929.544311, 231.927508: ns per cell total, react, vel_step, dens_step
1165.379406, 4.671223, 928.412748, 232.295435: ns per cell total, react, vel_step, dens_step
1168.941849, 4.668401, 932.388684, 231.884764: ns per cell total, react, vel_step, dens_step
1166.511580, 4.674981, 930.297171, 231.539429: ns per cell total, react, vel_step, dens_step
1165.488698, 4.675972, 928.923565, 231.889161: ns per cell total, react, vel_step, dens_step
1166.333548, 4.659988, 929.924580, 231.748980: ns per cell total, react, vel_step, dens_step
1167.861879, 4.662554, 928.508163, 234.691162: ns per cell total, react, vel_step, dens_step
1167.325294, 4.661514, 931.114517, 231.549262: ns per cell total, react, vel_step, dens_step
1166.600387, 4.660866, 928.896623, 233.042898: ns per cell total, react, vel_step, dens_step
1164.836260, 4.689466, 928.460336, 231.686458: ns per cell total, react, vel_step, dens_step
1167.430274, 4.661533, 929.511753, 233.256988: ns per cell total, react, vel_step, dens_step
1188.926312, 4.678556, 951.132360, 233.115396: ns per cell total, react, vel_step, dens_step
1175.413266, 4.667314, 937.425536, 233.320416: ns per cell total, react, vel_step, dens_step
1171.461810, 4.662134, 934.076660, 232.723016: ns per cell total, react, vel_step, dens_step
1173.630858, 4.667008, 935.747097, 233.216753: ns per cell total, react, vel_step, dens_step
1174.432106, 4.708292, 935.855148, 233.868666: ns per cell total, react, vel_step, dens_step
1169.762762, 4.662401, 932.490756, 232.609605: ns per cell total, react, vel_step, dens_step
1172.195530, 4.668334, 934.218634, 233.308562: ns per cell total, react, vel_step, dens_step
